relative_path,risk_type,occurrence_count,redacted_fingerprint,portable_replacement
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-FINAL-PROVISIONAL-MERGE-PROMPT-PREP-2026-07-25/compensation_evidence_final_provisional_merge_prompt_2026-07-25.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/04_AGGRESSIVE-SEMANTIC-CROSS-EXAMINATION/aggressive_cross_exam_results.jsonl,absolute_home_path,38,c38d0343f16c,repository-relative or environment-configured path
docs/analysis/worker_worktree_recreation_2026-07-21.md,absolute_home_path,6,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/post_pi_wave1_worker_2_prep_prompt_2026-07-23.md,absolute_home_path,3,f883005d08c4,repository-relative or environment-configured path
docs/analysis/parallel_scout_serial_merge_prompt_template_2026-07-23.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/pa_nj_source_scan_preflight_2026-07-12.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/wave2_worker_1_ca50_prep_prompt_2026-07-22.md,absolute_home_path,2,55b0b3afde7e,repository-relative or environment-configured path
docs/analysis/national_corpus_expansion_preflight_2026-07-12.md,absolute_home_path,1,9d4278b2f6e8,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/10_EXTERNAL-DATA-RECONCILIATION-LINKAGE/reconciliation_worker_process_manifest.json,absolute_home_path,10,5e94d718906d,repository-relative or environment-configured path
docs/analysis/post_pi_2000_municipality_strategy_input_audit_2026-07-23.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/06_CLAIM-ADJUDICATION-PREP/aggressive_claim_support_packet.csv,absolute_home_path,38,ac0a01520b4c,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/04_AGGRESSIVE-SEMANTIC-CROSS-EXAMINATION/aggressive_tier_3_upheld.jsonl,absolute_home_path,38,c38d0343f16c,repository-relative or environment-configured path
