duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,canonical_wave,confidence
RESCAND-0a23ba8d534d264933b191d3,EXTCAND-3628012bf5729efbcac82094,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e7bb9e597df9b0cec78fff00,RESCAND-47fe359f698441e2e8652380,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-3a10aefe0e8a0ec57ed481b6,RESCAND-5072280af24291a51f501111,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-0fa9cb72be225ea157d9d5d5,RESCAND-5a9f6796e67855e63b452b51,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-b8cc734611be92f9c212bab7,RESCAND-39dba1cc473ce0206a8235d1,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-fe46cfe5f7e0e8ca6cf5f578,RESCAND-5fa7fed4f7859fc544f81f77,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-89c6105fae509d2be00b2c8e,RESCAND-1c01dc5ee33018716a3a4c9f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-bf3a0e6fe5d3cfd208e0d68e,RESCAND-a37e8ff97afebda80a801c5d,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-b33ee136e574131b67d516d2,EXTCAND-badcdfeb596f45eab9d43883,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-785c0064297ec06eb6602e86,EXTCAND-eb49df2e44d85bb074fdd6bf,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-56bef3ed125129a92bac2f95,EXTCAND-08fe0fe2a0b36cea5292f2fd,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-eff69f20e724df96b2a8aaf0,EXTCAND-3e1bc9dc16cb8414fdc8239c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-0fa9cb72be225ea157d9d5d5,RESCAND-5a9f6796e67855e63b452b51,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-15c249ac3e1c7afe8c7cd3bd,RESCAND-6d2b72a1fcf8f5b7cc951577,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-caa03853beabc8b3bdbea3d9,RESCAND-14dc993bf3ae4da64115bda3,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-a7560531758fa8e125c95662,RESCAND-4d7a021a4dabe968f61d4e45,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-2038bada46980577e1aeef4a,RESCAND-7d9f1a72ab9d4db1ec9c419f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-1ba84654b59cc8d4370a8ce4,RESCAND-a507fe3fc4afcc23601b7bc1,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-c33fe1ce82a072847e88486f,RESCAND-b6715ce9a75c2f0dd5f6fb4b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-64a251f2590e9ede08544412,EXTCAND-cf6df63d22744164597fee72,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-c6af43f5fba5b223867f45e4,EXTCAND-e31a9f09007b9029e7bc8533,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-302a39ea39791484a202272a,RESCAND-883d56b05083c220f43d5412,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9a765a78264de2f2f876f365,EXTCAND-2e3da46a0acfc2ebb546ab40,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e940e17a0335add414363120,RESCAND-2abba791c3a2e2c1a7e87576,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-5817f86fc3e47920bf1e377e,RESCAND-273916cd7489ddc0f5eb0b86,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-583ca381e6dffb920f6af635,RESCAND-060cfa0e6de9de5610e9c812,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-baa425d7c894d79ebede6800,EXTCAND-27972e84ad588fc32059e20d,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-b6706b9fb679d2b7a20ce92b,EXTCAND-2b2fdd693bfbd249e3e3c869,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-1628a94a515004233e71164c,RESCAND-1628a94a515004233e71164c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
