duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,canonical_wave,confidence
RESCAND-81d7de37b562d0d1c059b875,EXTCAND-571a06ed73cb84b4bf1836b4,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-9973528dfa0b716e5bad8640,EXTCAND-4f554f196bf290f85cc1bdc7,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-1ae6b064425b4995212a56cb,RESCAND-1ae6b064425b4995212a56cb,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-1c7620312dbb797f3e122a22,RESCAND-1c7620312dbb797f3e122a22,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9973528dfa0b716e5bad8640,EXTCAND-4f554f196bf290f85cc1bdc7,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-ed50ade0ef71936a79ce5040,EXTCAND-8ab9c96315636a5f2711a592,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-f82c5be6f3c6ee5312181c23,EXTCAND-5237a214304b6b52113cfb70,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-779797b9e03f80e9b9c61828,EXTCAND-31591bda6735f881520b69b1,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-3e2c7acc7fc253bdbfa517db,EXTCAND-7767b277640fab6c8bc93a58,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-877df6b40512cc72e54c51a1,EXTCAND-52546d09c93269c978df7992,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-6a02521630ac94f9254e8121,EXTCAND-8018c880ca63ed723a938d1d,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-a37b9df3fa682448eff2bb3e,EXTCAND-71474694cf344c888e3dcd70,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
