source_domain,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
boro.dormont.pa.us,4,4,4,0,0,0,false
borough.shippensburg.pa.us,2,2,2,0,0,0,false
boroughofambler.com,1,1,1,0,0,0,false
boroughofpalmyra.com,1,0,0,0,0,1,false
boscawennh.gov,3,3,3,0,0,0,false
boscobelwisconsin.com,1,1,0,1,0,0,false
bottineau.govoffice.com,1,1,0,1,0,0,false
bourne-ma.gov,6,1,0,1,0,5,false
bowersbeach.delaware.gov,1,1,1,0,0,0,false
bownh.gov,3,0,0,0,0,3,false
bradfordoh.com,2,2,0,2,0,0,false
bradfordpa.org,2,2,1,1,0,0,false
bradleyil.org,3,3,3,0,0,0,false
brandenburg.ky.gov,1,1,1,0,0,0,false
branford-ct.gov,4,0,0,0,0,4,false
brattleboro.gov,1,0,0,0,0,1,false
brazil.in.gov,3,3,3,0,0,0,false
bremenga.gov,1,0,0,0,0,1,false
brentwoodca.gov,2,0,0,0,0,2,false
brentwoodmo.org,2,1,1,0,0,1,false
brentwoodnh.gov,1,1,1,0,0,0,false
brentwoodpa.gov,2,1,1,0,0,1,false
brentwoodtn.gov,1,0,0,0,0,1,false
bridgeportwashington.net,2,2,1,1,0,0,false
bridgeportwv.gov,1,1,0,1,0,0,false
bridger-mt.com,1,1,0,1,0,0,false
bridgetonmo.com,2,0,0,0,0,2,false
bridgeville.delaware.gov,3,3,3,0,0,0,false
bridgewater.town,3,3,0,3,0,0,false
bridgewatersd.com,2,0,0,0,0,2,false
brigantinenow.com,1,0,0,0,0,1,false
brightoncity.org,1,1,1,0,0,0,false
bristolnh.gov,2,1,1,0,0,1,false
bristolva.gov,2,0,0,0,0,2,false
bristolvt.org,1,1,0,1,0,0,false
brittonsd.govoffice3.com,1,1,0,1,0,0,false
broadwayva.gov,1,1,1,0,0,0,false
brockportny.gov,1,1,1,0,0,0,false
brockportny.org,1,1,1,0,0,0,false
brookfieldct.gov,4,4,3,1,0,0,false
brookfieldil.civicweb.net,6,6,0,5,1,0,false
brookhavenboro.com,1,1,0,1,0,0,false
brookhavenga.gov,1,0,0,0,0,1,false
brooklinema.gov,5,4,4,0,0,1,false
brooklynct.org,4,1,0,1,0,3,false
brownsvilletn.gov,1,1,1,0,0,0,false
brownwoodtexas.gov,4,2,2,0,0,2,false
brunswickga.org,4,0,0,0,0,4,false
brunswickme.gov,2,1,0,1,0,1,false
bruslyla.com,1,1,0,1,0,0,false
bsquarebulletin.com,1,1,0,1,0,0,false
buckeye.novusagenda.com,1,1,0,1,0,0,false
buckhannonwv.org,3,3,3,0,0,0,false
buckinghampa.org,1,1,0,1,0,0,false
bucksportmaine.granicus.com,1,1,0,1,0,0,false
budgetnotices.in.gov,2,2,1,1,0,0,false
buenavistaco.gov,3,1,1,0,0,2,false
buenavistava.gov,4,4,3,1,0,0,false
builder1.revize.com,3,0,0,0,0,3,false
bullheadcity.granicus.com,2,2,0,2,0,0,false
bullheadcityaz.gov,1,1,1,0,0,0,false
bunnellcity.us,3,0,0,0,0,3,false
burbankca.gov,1,1,0,1,0,0,false
burgsimpson.com,1,1,0,0,1,0,false
burlington.org,6,1,0,1,0,5,false
burlingtonct.us,3,0,0,0,0,3,false
burlingtonkansas.gov,2,2,2,0,0,0,false
burlingtonnd.org,2,2,2,0,0,0,false
burrillville.org,1,0,0,0,0,1,false
butlerborough.com,2,2,2,0,0,0,false
butlercountypa.gov,1,1,0,1,0,0,false
butlerradio.com,1,1,0,0,1,0,false
butnernc.org,2,0,0,0,0,2,false
byhalia-ms.com,1,1,0,1,0,0,false
byronwyoming.org,1,1,1,0,0,0,false
c3gov.com,1,0,0,0,0,1,false
c4lg.org,1,0,0,0,0,1,false
ca-montereypark.civicplus.com,1,1,0,0,1,0,false
ca-tehachapi2.civicplus.com,1,0,0,0,0,1,false
cabq.gov,1,1,1,0,0,0,false
cadillac-mi.net,3,3,0,3,0,0,false
calaismaine.org,2,2,0,2,0,0,false
caldwellohio.org,1,1,1,0,0,0,false
caleraok.org,3,0,0,0,0,3,false
californiacity-ca.gov,5,4,3,1,0,1,false
calimesa.gov,3,3,3,0,0,0,false
calumetcity.org,2,2,0,2,0,0,false
camancheia.org,2,0,0,0,0,2,false
cambridgene.org,1,1,1,0,0,0,false
camden.delaware.gov,2,1,0,1,0,1,false
cameronmo.com,1,1,1,0,0,0,false
camptonhills.illinois.gov,2,2,0,2,0,0,false
camptonnh.org,2,0,0,0,0,2,false
canaannh.gov,2,0,0,0,0,2,false
canandaigua.govoffice.com,1,1,1,0,0,0,false
canandaiguanewyork.gov,1,1,1,0,0,0,false
cannonfallsmn.gov,2,1,1,0,0,1,false
canoncity.org,3,3,0,3,0,0,false
cantonga.gov,3,0,0,0,0,3,false
cantonillinois.org,4,4,2,2,0,0,false
cantonmi.gov,6,0,0,0,0,6,false
canyontx.gov,1,0,0,0,0,1,false
capeelizabeth.com,2,0,0,0,0,2,false
capitolheightsmd.gov,1,0,0,0,0,1,false
carbonmt.gov,1,1,1,0,0,0,false
careers-vailgov.icims.com,1,0,0,0,0,1,false
carencro.org,1,1,0,1,0,0,false
carlisleindians.org,1,1,1,0,0,0,false
carlisleiowa.org,3,1,1,0,0,2,false
carljunction.socs.net,1,1,1,0,0,0,false
carmel.in.gov,1,0,0,0,0,1,false
carnationwa.gov,1,1,1,0,0,0,false
carnegieborough.com,2,2,1,1,0,0,false
carolinemd.org,1,0,0,0,0,1,false
carpinteriaca.gov,3,3,3,0,0,0,false
carrboro.legistar.com,1,1,0,1,0,0,false
carringtonnd.com,2,2,1,1,0,0,false
carrizozonm.us,3,3,2,1,0,0,false
carsoncity.gov,1,0,0,0,0,1,false
cartersvillega.gov,1,0,0,0,0,1,false
caruthersvillecity.com,1,1,1,0,0,0,false
carverma.gov,2,2,2,0,0,0,false
caryillinois.com,3,1,0,1,0,2,false
cascade-locks.or.us,1,1,1,0,0,0,false
casemine.com,2,0,0,0,0,2,false
castlepinesco.gov,1,1,1,0,0,0,false
castletonvermont.org,2,1,1,0,0,1,false
castlewoodcity.com,4,4,2,2,0,0,false
cavecity.us,1,1,1,0,0,0,false
cavecreekaz.gov,3,1,1,0,0,2,false
cawh.org,1,1,0,1,0,0,false
caycesc.gov,3,2,1,1,0,1,false
cc-publicdocs.santa-ana.org,1,1,0,1,0,0,false
cch160.org,1,1,0,1,0,0,false
cclp.us,3,3,3,0,0,0,false
cdn.downers.us,3,3,3,0,0,0,false
cdn.muckrock.com,2,2,0,2,0,0,false
cdn.myocv.com,2,2,0,1,1,0,false
cdn.prod.website-files.com,7,7,0,7,0,0,false
cdn.saffire.com,1,0,0,0,0,1,false
cdn.sudbury.ma.us,3,3,3,0,0,0,false
cdn.toledo.oh.gov,4,4,4,0,0,0,false
cdn.townweb.com,10,9,2,7,0,1,false
cdn.website-editor.net,3,2,0,2,0,1,false
cdn4.creativecirclemedia.com,2,0,0,0,0,2,false
cdn4.site-media.eu,2,2,1,1,0,0,false
cdnsm5-hosted.civiclive.com,11,9,0,9,0,2,false
cdnsm5-ss11.sharpschool.com,1,1,0,1,0,0,false
ceciltonmd.gov,3,3,3,0,0,0,false
cedaredgecolorado.com,2,0,0,0,0,2,false
cedarlakein.gov,5,5,2,3,0,0,false
centernd.net,1,1,0,1,0,0,false
centertonar.us,1,0,0,0,0,1,false
centervillesd.squarespace.com,1,1,0,1,0,0,false
centervilleutah.gov,2,0,0,0,0,2,false
centralmarinpolice.org,1,0,0,0,0,1,false
ceredo-external.s3.amazonaws.com,1,1,0,1,0,0,false
ceres.gov,2,2,1,1,0,0,false
cerescone.com,1,1,1,0,0,0,false
cesl.us,2,1,1,0,0,1,false
cga.ct.gov,1,0,0,0,0,1,false
chadron-nebraska.com,2,0,0,0,0,2,false
chagrinfallsoh.gov,2,2,2,0,0,0,false
champaignil.gov,1,1,0,1,0,0,false
channahon.org,2,2,1,1,0,0,false
channahonfire.com,1,1,0,1,0,0,false
chariton.org,1,1,1,0,0,0,false
charlestownwv.granicus.com,1,1,0,1,0,0,false
charlottemi.gov,4,3,3,0,0,1,false
charlottevt.org,1,1,1,0,0,0,false
chasecity.org,1,1,1,0,0,0,false
