extraction_result_id,canonical_payload_id,candidate_id,linkage_basis
EXTEXTRACT-f9c0cd8aab5fcd7858cdd123,EXTPAYLOAD-cfd19f01991ce916f9d9db85,EXTCAND-6aa0722a8f6ad4e4aa72ae46,readiness_preserved_lineage
EXTEXTRACT-f9c0cd8aab5fcd7858cdd123,EXTPAYLOAD-cfd19f01991ce916f9d9db85,EXTCAND-fd3703081a1405489bf1be65,readiness_preserved_lineage
EXTEXTRACT-84d84f6bd2de9581d73f5b94,EXTPAYLOAD-cfd2ad38ec297b914ceb6da3,EXTCAND-2bbcb717f9327ddd949676b4,readiness_preserved_lineage
EXTEXTRACT-c73573693e524121bf257224,EXTPAYLOAD-cfd79b9eaa0a7aa05f832742,EXTCAND-701af18ae07c4cc23df8e53c,readiness_preserved_lineage
EXTEXTRACT-ab50e96589e762bd43d24a7b,EXTPAYLOAD-cfe7032170abb8e4dd77944f,RESCAND-ed5edb4ad7fe857cbac80ce2,readiness_preserved_lineage
EXTEXTRACT-f660c7f34bb3bb83d9ad1783,EXTPAYLOAD-cfef4f0a120a32eda11f24bb,EXTCAND-69878c802ca196203326f64c,readiness_preserved_lineage
EXTEXTRACT-f19da00eeb32822d4473a814,EXTPAYLOAD-cff4c5d03fd2915116da6fd9,RESCAND-ed88c398a4c180145bb31aab,readiness_preserved_lineage
EXTEXTRACT-12e0c09715eb03cca63cfda2,EXTPAYLOAD-cff4c5fd913a194e4f4ac98f,EXTCAND-1995ab324913f4c2fad21342,readiness_preserved_lineage
EXTEXTRACT-577437e9c3ceea13ef4dd21b,EXTPAYLOAD-cff4dfcb67563bc94d26c470,RESCAND-9a6c90ca73d4493db35dbe63,readiness_preserved_lineage
EXTEXTRACT-eade9d115fcd6d2d1c232b37,EXTPAYLOAD-cff654b5fa84c61f3f850232,RESCAND-a82751ca737d1c5b8ef076e0,readiness_preserved_lineage
EXTEXTRACT-c7d0af9c71b0a6451ef82b3d,EXTPAYLOAD-cffb20c083f2996a5cab9446,EXTCAND-f932e1b9510e253b99c433bd,readiness_preserved_lineage
EXTEXTRACT-088dfc432c905dd76729906d,EXTPAYLOAD-cfff69f163ad6985aacb6877,RESCAND-8b8b94359a33f043a70da975,readiness_preserved_lineage
EXTEXTRACT-f457512f8d212c25f0816598,EXTPAYLOAD-d003ae8482b142781292eb5d,RESCAND-2e35dd485f6525185731b9c1,readiness_preserved_lineage
EXTEXTRACT-b69436769899a7f4c755570e,EXTPAYLOAD-d00a4eb0d16b16dae1a48b2e,EXTCAND-200571948681cf20a5803777,readiness_preserved_lineage
EXTEXTRACT-99e2584b42e610405c83f120,EXTPAYLOAD-d013b1b2aeb463c5915e0a83,RESCAND-2752efdc4d05bcd3125caf22,readiness_preserved_lineage
EXTEXTRACT-e91b01e2c14a13b22f04e678,EXTPAYLOAD-d022b79f3d0e72067b64f51e,EXTCAND-c872924a8c31ef03b9ca3128,readiness_preserved_lineage
EXTEXTRACT-fce39a4e3d3352962b484f71,EXTPAYLOAD-d023eb65ce58b018186ae9d7,EXTCAND-e103eaaa13b9cb59c2bbff5d,readiness_preserved_lineage
EXTEXTRACT-e8f7e24e686c592ebd584f50,EXTPAYLOAD-d025fa4fbd2f918291770c54,EXTCAND-4c7c0c346773c13477e1e548,readiness_preserved_lineage
EXTEXTRACT-3ba56643f31e2472e6a369d3,EXTPAYLOAD-d02745687e57bb98f057654c,RESCAND-e8dbdb288e1eac0c24a120c5,readiness_preserved_lineage
EXTEXTRACT-6cea872454dea5d0cc2d5c20,EXTPAYLOAD-d02ae5904514c40f4065c6bb,EXTCAND-49746e83095085b756b82bad,readiness_preserved_lineage
EXTEXTRACT-03cc9db8cdf152c0d550a4ac,EXTPAYLOAD-d0339d1ffa6c8558b76dece3,EXTCAND-c88892a171878d8c07729cad,readiness_preserved_lineage
EXTEXTRACT-c92c9fc3953222f9d758301c,EXTPAYLOAD-d035a0003b30d49c6198b606,RESCAND-332dfad704b7923e92cfe540,readiness_preserved_lineage
EXTEXTRACT-403ea8a21974448c7018aa68,EXTPAYLOAD-d0364d89bcaa44712a3c830d,RESCAND-6d6b2c6ddae97a2d87e499d9,readiness_preserved_lineage
EXTEXTRACT-7bb40aa3b20fccf620cd01f4,EXTPAYLOAD-d037a3a128a6156d864ff61a,EXTCAND-7e21ef9fa17c615def887431,readiness_preserved_lineage
EXTEXTRACT-87e32725c791f5d000a7b052,EXTPAYLOAD-d03a270a2ea3e1d6f335f86f,RESCAND-d78de0b0db079b9d1c8c62ae,readiness_preserved_lineage
EXTEXTRACT-b54a5db4593ac9bb40230ce1,EXTPAYLOAD-d03b3b07585beb40fcf7a6a0,RESCAND-a23320a611855b8fe07c89ca,readiness_preserved_lineage
EXTEXTRACT-bba1a8731bbdc32ab038a7b5,EXTPAYLOAD-d03c8c57bc93f7ffc3aaed48,EXTCAND-a16c325c908187719d0f5a75,readiness_preserved_lineage
EXTEXTRACT-6ba4fcfbb11a7d5c54c70dba,EXTPAYLOAD-d041a88b65fe8c2a4a0f7df3,EXTCAND-450ed19bf109c7b11375aaa7,readiness_preserved_lineage
EXTEXTRACT-b32a8efb52c4d751f507e4e2,EXTPAYLOAD-d043dbec2012aa5ecee727fe,RESCAND-951a57709671e1275e14f86a,readiness_preserved_lineage
EXTEXTRACT-bc642ed0a60686107afbe7a6,EXTPAYLOAD-d047a1694eb735010cd50b4f,EXTCAND-041dabcfdbd381eb0db4e558,readiness_preserved_lineage
EXTEXTRACT-23879c6999388903eb95ab6b,EXTPAYLOAD-d047e44e3938784d6735c2b4,EXTCAND-3d298b95b903a9199afd45be,readiness_preserved_lineage
EXTEXTRACT-9e34de58786a7980f372666c,EXTPAYLOAD-d0551a64fa4d32f0774d82eb,EXTCAND-c76b3ad8e331647027ddced4,readiness_preserved_lineage
EXTEXTRACT-4be4f2dac04186d07e1c7629,EXTPAYLOAD-d055ffa9d271490d48a00c6c,EXTCAND-b636bcbd598d7487d4191b06,readiness_preserved_lineage
EXTEXTRACT-9ab185adc410f1c0e2f5870e,EXTPAYLOAD-d059a434a0fcd62fc09aa5af,RESCAND-07daca562aa94f6d0bc74de8,readiness_preserved_lineage
EXTEXTRACT-a197a8254cdc15364ea36bd2,EXTPAYLOAD-d064b01287a9dcbfbac8c340,EXTCAND-2df665cb0e1c12c6f6b67401,readiness_preserved_lineage
EXTEXTRACT-27ed5b5c88ccbe9f9eb72fa7,EXTPAYLOAD-d06724d855b7eb4c3ca6dbd3,EXTCAND-869d7fd49d4c30f8cca33844,readiness_preserved_lineage
EXTEXTRACT-d5c6ed7a5e0d73a651a625b1,EXTPAYLOAD-d06c718cca14c1022a4effaa,EXTCAND-b52aee01d54b7d7f22246903,readiness_preserved_lineage
EXTEXTRACT-e9a1528ca471ae102614cb6f,EXTPAYLOAD-d06cf1ed2d6b221bbc64d432,RESCAND-92106cdcfeb577fa49949e40,readiness_preserved_lineage
EXTEXTRACT-60ffcf27bff2cf66ebf0ba59,EXTPAYLOAD-d06eb7e15080962a703f0573,EXTCAND-1aac5ecbb44ba6eb6ca9997a,readiness_preserved_lineage
EXTEXTRACT-99fe394254f9a050fbec9299,EXTPAYLOAD-d06f3cb6b865853da556f39b,EXTCAND-d8eab1d67cc3efa6f770013d,readiness_preserved_lineage
EXTEXTRACT-9bac3f70267a124368bc6aee,EXTPAYLOAD-d070a3c0f223892fc26ff14f,EXTCAND-68927d30367572f447c66407,readiness_preserved_lineage
EXTEXTRACT-4d5c3365fc7535cd93f9f36f,EXTPAYLOAD-d077c52ed817d3dc15ee1712,RESCAND-edd5688de047f203c2fcf1ec,readiness_preserved_lineage
EXTEXTRACT-3b80788bdfb4ffdaa401bae4,EXTPAYLOAD-d07af9028362a5fc5f4d3c13,RESCAND-8174167702d514ad622bf397,readiness_preserved_lineage
EXTEXTRACT-6174c3dcd0b073b4eeff620b,EXTPAYLOAD-d07f2c24ff8fca79f171073f,RESCAND-e837a717ba7eec6f5f07eb70,readiness_preserved_lineage
EXTEXTRACT-d9f76f4996444b82fe46d1a6,EXTPAYLOAD-d07f93061e912eceb8194778,RESCAND-247d6a68318d6886ee9b1456,readiness_preserved_lineage
EXTEXTRACT-e1d96208d6e9894de680f87a,EXTPAYLOAD-d084aac5ee67395ce79e2348,EXTCAND-41b6babb9e18511a7ee3167e,readiness_preserved_lineage
EXTEXTRACT-c0449417e1525e20cf47866d,EXTPAYLOAD-d08a5d3eaa2474806be38e9f,RESCAND-262200bd9ca3261ac1df1609,readiness_preserved_lineage
EXTEXTRACT-e23c436f7ebed747030bb1d3,EXTPAYLOAD-d08caab3db7c5803dcd5567b,EXTCAND-635439584e8ff67e19fe840e,readiness_preserved_lineage
EXTEXTRACT-4bb0f3f005919c595f4ce9a7,EXTPAYLOAD-d0958ea2f477a3335ff37edb,EXTCAND-a3cf2435302c8d611d052d09,readiness_preserved_lineage
EXTEXTRACT-b6a67171050656be36f34b03,EXTPAYLOAD-d098b74fe35d61cde6c3f79a,RESCAND-c2db4ef87237d148474449a5,readiness_preserved_lineage
EXTEXTRACT-3d022d1cd39f19bd57d76733,EXTPAYLOAD-d0a08e011bbf5046ed832026,RESCAND-65bea1f2f628f65406eb7b9d,readiness_preserved_lineage
EXTEXTRACT-46c25b00e1775f4de7632c3a,EXTPAYLOAD-d0ac7d536581226a517cc32d,RESCAND-798957082604e025f951928a,readiness_preserved_lineage
EXTEXTRACT-9d35bd01113586da58a78e78,EXTPAYLOAD-d0b12eb33d1189f3d46b06d5,EXTCAND-e56e916a8584bc584b62d52e,readiness_preserved_lineage
EXTEXTRACT-0dc8fd971ab1f506f15d1e8f,EXTPAYLOAD-d0b33bff271af208dca7e2d8,RESCAND-a4ca1d6969858a3199313bba,readiness_preserved_lineage
EXTEXTRACT-ed17a1e3588458d5f7e4a2d1,EXTPAYLOAD-d0b56fa429f32f8a9017edc3,RESCAND-104a14224d27a894d59ce563,readiness_preserved_lineage
EXTEXTRACT-1c26e513d3472659467b7f1e,EXTPAYLOAD-d0b8d996788386460484a1b4,EXTCAND-6baeb58bd86989824e49cb87,readiness_preserved_lineage
EXTEXTRACT-00cad10e407d8f8485cbc64d,EXTPAYLOAD-d0c7eb7bd2814dae4cb29205,RESCAND-b26489ea33cbf56d29346cbd,readiness_preserved_lineage
EXTEXTRACT-daf484d7c5dcea816ce79b46,EXTPAYLOAD-d0d4537da134a3f81bc1ff9f,RESCAND-29dd3fab59bf97db84a2a58a,readiness_preserved_lineage
EXTEXTRACT-9d7c2a7538c1019e1cdfbcdd,EXTPAYLOAD-d0d4939e204979ecaa2baf52,EXTCAND-24e47abccece8e0d33984d04,readiness_preserved_lineage
EXTEXTRACT-1b685809184294db4a8a12d3,EXTPAYLOAD-d0de72d773eaf34f8e76f2d8,RESCAND-e786f7b85c5b7b435ada72e2,readiness_preserved_lineage
EXTEXTRACT-0dcc74add85c46357848f84d,EXTPAYLOAD-d0e176da884e9c227ce17786,EXTCAND-7b4c306b48041fda5b976bb7,readiness_preserved_lineage
EXTEXTRACT-9070ce2c2bcde8972dfd4c1e,EXTPAYLOAD-d0e37f8606c406277ef2beb0,RESCAND-a7ca75cfebe70a2caeaf64b8,readiness_preserved_lineage
EXTEXTRACT-7ff5d0f2c5648bcff8a2cfb0,EXTPAYLOAD-d0e823586ed605dbbd0208d3,RESCAND-eb4457627daaf3be04424bc0,readiness_preserved_lineage
EXTEXTRACT-aacbc4339a7d9e3777451aef,EXTPAYLOAD-d0ebfe605e620fda6121205e,RESCAND-896e4a18afd2c174b61ed6f2,readiness_preserved_lineage
EXTEXTRACT-ffe148ab6cbdbd9826c79fd5,EXTPAYLOAD-d0f74fc13d0ddaa3993f5585,RESCAND-09c1b80ff9fc7cd3c403cf07,readiness_preserved_lineage
EXTEXTRACT-30d344a9a89728f0a99c1865,EXTPAYLOAD-d0fca34b20c561cb8b5cb9c5,RESCAND-5bde2abe833ee39338567668,readiness_preserved_lineage
EXTEXTRACT-86722c96038ae3298ca6fbee,EXTPAYLOAD-d0fccd0c0da5e56df875eaf7,RESCAND-7fcd4b6863b0bd2d1abd84ac,readiness_preserved_lineage
EXTEXTRACT-86722c96038ae3298ca6fbee,EXTPAYLOAD-d0fccd0c0da5e56df875eaf7,RESCAND-bcf7c5b9712299e9dfaf18b5,readiness_preserved_lineage
EXTEXTRACT-1416f881806fb3f517e50442,EXTPAYLOAD-d101d3a99b2cbb01ad6210cf,RESCAND-b9d8f8a800c1161ceace45e8,readiness_preserved_lineage
EXTEXTRACT-39529a1f99891c924e270c60,EXTPAYLOAD-d107ae347e7770bae99db758,EXTCAND-792c01b8e510546ee9efaea1,readiness_preserved_lineage
EXTEXTRACT-0830826658b08fa9dc426095,EXTPAYLOAD-d109c52525b3861c33d565c3,RESCAND-be5aff3ff1e9a4f44d8391d5,readiness_preserved_lineage
EXTEXTRACT-e60f15c5875a8e1c0ea4d5a1,EXTPAYLOAD-d10a0e18548dd941b7d0d88d,EXTCAND-1403ce8a56f34d38e3e30b08,readiness_preserved_lineage
EXTEXTRACT-5c57893c1d841ac44340997a,EXTPAYLOAD-d10aadf42b9a15e4343ea99e,RESCAND-0a782430b929e3a84ce23b20,readiness_preserved_lineage
EXTEXTRACT-397725addebc8db2417397b4,EXTPAYLOAD-d1123df93273fe09ba05dcb4,EXTCAND-bbde70f7a5cf56e08c96e5d6,readiness_preserved_lineage
EXTEXTRACT-f1cefee17b5d80b931e64911,EXTPAYLOAD-d1163b8501497423281d139c,EXTCAND-ef5955db95f6d3533e017b39,readiness_preserved_lineage
EXTEXTRACT-750bc56f32a35a0e8d501e7b,EXTPAYLOAD-d117f982b3741c7ce953b654,RESCAND-6710314a7e469fe360fb134e,readiness_preserved_lineage
EXTEXTRACT-6219df6375162e8f87c16d18,EXTPAYLOAD-d1317f61d69a46f9c04d24e8,RESCAND-4b96c00790b587c5bfc04286,readiness_preserved_lineage
EXTEXTRACT-94f2799c2079140bcf049654,EXTPAYLOAD-d1323b362988636403d1ff39,RESCAND-5502ce9f155fb80f502f6eb1,readiness_preserved_lineage
EXTEXTRACT-cd60e0319e202ad47dff989a,EXTPAYLOAD-d1352be0a00b042fedb0ff92,EXTCAND-237d6e904bca046cb4dd3188,readiness_preserved_lineage
EXTEXTRACT-29928d05485540b3d8d6cf0a,EXTPAYLOAD-d1399bdfcd2867bd0d0d2b42,EXTCAND-8f52bb2402a3bbdd2e893b14,readiness_preserved_lineage
