extraction_result_id,canonical_payload_id,candidate_id,linkage_basis
EXTEXTRACT-e36a87e7455982d948579fdc,EXTPAYLOAD-0116e1fc7121806f9d1cb8d0,RESCAND-24012cad4c1759441c855d8b,readiness_preserved_lineage
EXTEXTRACT-a20dc361f19eb234dff48419,EXTPAYLOAD-0117ec5ec50ec09491a00da7,RESCAND-4a7f0d4b98bcb6e41a366b40,readiness_preserved_lineage
EXTEXTRACT-f17ae8b60af9fb3102b56fd4,EXTPAYLOAD-011bdf92fe9ea9db342bcc2a,RESCAND-f646095e5a80a60cc0c533c5,readiness_preserved_lineage
EXTEXTRACT-b2eade8fc8747e8ca2fa90b5,EXTPAYLOAD-011f1de25fb7b507572ae602,RESCAND-a4ef8007a746a8d1f20fadad,readiness_preserved_lineage
EXTEXTRACT-84a583b6aaffcabe5c563f90,EXTPAYLOAD-0120dcc4ce68394357826d36,EXTCAND-de040a1b6e44a4659c671256,readiness_preserved_lineage
EXTEXTRACT-609cb41ade070842907cd453,EXTPAYLOAD-0124c7b0da0eb54ba9d83fe9,EXTCAND-1ba7212650cd1a22dd6b5ea7,readiness_preserved_lineage
EXTEXTRACT-6b51aaa918923ed773068b92,EXTPAYLOAD-012add8bb35407a7acd8b5f7,RESCAND-90953fecf6e8a494c3eedb78,readiness_preserved_lineage
EXTEXTRACT-d6ade04cff0c70c1192bd626,EXTPAYLOAD-012dae3a8409088fe55c6842,RESCAND-8f0b4896db9ec51cdb8e17d0,readiness_preserved_lineage
EXTEXTRACT-0a94a774b62a6d4df1cb03ca,EXTPAYLOAD-0131240c6fc2b7daa962e497,EXTCAND-4d632dfb810a628c2cfbdaa3,readiness_preserved_lineage
EXTEXTRACT-dfcfc0ebc234f90a663c7498,EXTPAYLOAD-013a7600dd45bda0f76f0a3e,EXTCAND-9dea82b9586af7cfb462a80a,readiness_preserved_lineage
EXTEXTRACT-cdbf2d1c5075517b66c0d7b7,EXTPAYLOAD-013cc0551241308798c92d78,RESCAND-13b9ce77d2d6b085256be07f,readiness_preserved_lineage
EXTEXTRACT-b8a39c5b29b8dbe10517935b,EXTPAYLOAD-013cee2a9104b3a6839ff324,EXTCAND-da22ece0d84da5726ad961f9,readiness_preserved_lineage
EXTEXTRACT-937001bd1f428dee456502c1,EXTPAYLOAD-0140ed1317b38ef289281c58,EXTCAND-ec64bade3ea3ce23497e1a3c,readiness_preserved_lineage
EXTEXTRACT-3928945e69a777f6a605e73a,EXTPAYLOAD-0140eeb01ae042f934e1ed81,EXTCAND-38e8a558f9351af06cb1cbb9,readiness_preserved_lineage
EXTEXTRACT-a6bb36b93f4c67c730fbbe2c,EXTPAYLOAD-01458188e8f051054827d6b8,EXTCAND-055dc87727937faf2afad146,readiness_preserved_lineage
EXTEXTRACT-a89dbc07ade644861ecab9d4,EXTPAYLOAD-0148fafad63e2f30869c71b6,RESCAND-7817b24d33f5bf465a74b1d0,readiness_preserved_lineage
EXTEXTRACT-03f3c644803170f854e75221,EXTPAYLOAD-0154b7025483656267e7e986,EXTCAND-19c65a0fb57aaf7e8adee484,readiness_preserved_lineage
EXTEXTRACT-7b85fa848ab1acc41478e9f6,EXTPAYLOAD-015bb9284b0e40d8f62470a3,EXTCAND-e254658c4edd0e18a7615063,readiness_preserved_lineage
EXTEXTRACT-a9a3c911ebd00050dddbd37a,EXTPAYLOAD-01604ea8fdbf7ee08442abfa,RESCAND-701eee4a171da1f6ec932a85,readiness_preserved_lineage
EXTEXTRACT-7e20e11bfded1b0086b2f4e2,EXTPAYLOAD-0162f7b1bfa7141ceb5f7c69,EXTCAND-aba071a08de970760ea35cad,readiness_preserved_lineage
EXTEXTRACT-8ec2758e00cc4d6dabfd3d98,EXTPAYLOAD-0167cc71e74ff7d0798abe16,EXTCAND-874c30246af9c14e8208ec16,readiness_preserved_lineage
EXTEXTRACT-8ec2758e00cc4d6dabfd3d98,EXTPAYLOAD-0167cc71e74ff7d0798abe16,EXTCAND-bcf05fd9a5ac16aa44058b81,readiness_preserved_lineage
EXTEXTRACT-e60ebbdfd8e05381a653109b,EXTPAYLOAD-01688dcc9fe6d17506bec03f,EXTCAND-458935312f30860ff44d20ed,readiness_preserved_lineage
EXTEXTRACT-30f9a0d33a67b65093c80895,EXTPAYLOAD-016c0799eba7b9299bad6051,RESCAND-d15ecc43a06e9330bf0276ba,readiness_preserved_lineage
EXTEXTRACT-a855fadfd66f6b155743a9ac,EXTPAYLOAD-016fd9b7fb0f792e5aebd5d8,EXTCAND-3a5104bedafb75315daea0e9,readiness_preserved_lineage
EXTEXTRACT-cfc5812e24d8a9a8a635fced,EXTPAYLOAD-017124dafa9d641286861c32,EXTCAND-ec1be97428e4fc046cf7c674,readiness_preserved_lineage
EXTEXTRACT-0e010ddcff6b6d57f7721a5a,EXTPAYLOAD-01760aae4b62693451352815,EXTCAND-ad6a382dcffe9540b6df8f3b,readiness_preserved_lineage
EXTEXTRACT-cc57c31817af49032982aa32,EXTPAYLOAD-0180f01f8b12a283560fb016,EXTCAND-146c75568a24336554767f01,readiness_preserved_lineage
EXTEXTRACT-00c4a332f149bce493bda1b5,EXTPAYLOAD-018266f237cd46940aa9aaee,EXTCAND-4b7f9a87d4e37808f0b0d0aa,readiness_preserved_lineage
EXTEXTRACT-f04277e829bd3311e34f0285,EXTPAYLOAD-0183b310d99d88dd29b84196,RESCAND-72783bf9c0b5634a7da25d5d,readiness_preserved_lineage
EXTEXTRACT-19437614c74c9a888936e11d,EXTPAYLOAD-0189a45b5f7a4d4449e8ec0f,RESCAND-5e585cf1d09d426df961ad94,readiness_preserved_lineage
EXTEXTRACT-0528a4c5fa55c1ef2561d807,EXTPAYLOAD-0194fc273034576c253be7d3,RESCAND-1e05083dc2a914d16bed0172,readiness_preserved_lineage
EXTEXTRACT-2ab042904244861812d58e9e,EXTPAYLOAD-01999dd50a9bdec7a4bac0dd,EXTCAND-794394176c7f30847d5d3ee4,readiness_preserved_lineage
EXTEXTRACT-54e0b94e50498278e711f448,EXTPAYLOAD-01a229ea645eb0d80a768fab,RESCAND-878b1b534d70468bed18f64e,readiness_preserved_lineage
EXTEXTRACT-4c0a17a85611ef9f3d69e37c,EXTPAYLOAD-01a4c03f34a703f054153c0b,RESCAND-9d95f141f473744e140bf0f3,readiness_preserved_lineage
EXTEXTRACT-27245d7a494be64cc2639262,EXTPAYLOAD-01a655cdd474ecfee09555ea,RESCAND-ecec6462cf910d462702c934,readiness_preserved_lineage
EXTEXTRACT-7860e68040e5c5d14ec490eb,EXTPAYLOAD-01ab257f61f6de7d06e29ce6,EXTCAND-5ef860131dcb2320c8e5dfb0,readiness_preserved_lineage
EXTEXTRACT-6ae4d358d27b15bcf0e2b655,EXTPAYLOAD-01add3797ba2ff33350e2fcc,RESCAND-ede40e7ba1b541e0152aef16,readiness_preserved_lineage
EXTEXTRACT-fb5a72e520420e4c4a126c4d,EXTPAYLOAD-01b063224f6ddf892701b52e,RESCAND-afdfa8f21ac51765c8640fa5,readiness_preserved_lineage
EXTEXTRACT-ed536ff3933c8c034a4c8d21,EXTPAYLOAD-01b0c0f9fb78fbeb92fe2b03,EXTCAND-a138e8eb1028b7c7b972d34e,readiness_preserved_lineage
EXTEXTRACT-4400f49d85f4a16e3d03af4a,EXTPAYLOAD-01b4faf087ca607aec3c3a39,RESCAND-9290a921071704ebae4284e2,readiness_preserved_lineage
EXTEXTRACT-1edb7ba0814b15fd49e8356d,EXTPAYLOAD-01b69d7c26f2adcd7780d774,EXTCAND-c49c780904ed8e5c432a83b7,readiness_preserved_lineage
EXTEXTRACT-92a3498fdcdb16372add5343,EXTPAYLOAD-01b853b2e35c5b88aeed819d,EXTCAND-503ee52fdb24a58619634681,readiness_preserved_lineage
EXTEXTRACT-e75f6707522735380a60d1b3,EXTPAYLOAD-01bba12e584f97460402278d,RESCAND-36f0e94f590b2bb2021115ea,readiness_preserved_lineage
EXTEXTRACT-688c4484e0b04746fe1b9609,EXTPAYLOAD-01c2990961c97eebcdb5f67d,RESCAND-190c1638bce2e029fbab8c6d,readiness_preserved_lineage
EXTEXTRACT-79c178f843bd3513ccab7806,EXTPAYLOAD-01c9510e9fb88c6152db1597,RESCAND-6c07fe35795baaa2cec46a25,readiness_preserved_lineage
EXTEXTRACT-825e385155e2f8b4e155197c,EXTPAYLOAD-01caddfd681f21057c0dcbb5,RESCAND-083e8b1b3075442fbd07168a,readiness_preserved_lineage
EXTEXTRACT-902ee0c40a518f1246ab10a6,EXTPAYLOAD-01cbca7eebbe64ceb35d05dc,EXTCAND-4805b177cbc31a17829423df,readiness_preserved_lineage
EXTEXTRACT-05a50d78d8deccbaef37965b,EXTPAYLOAD-01cf1e2e5825cda5126ff4a8,RESCAND-5c39b58992faff7439be8f15,readiness_preserved_lineage
EXTEXTRACT-b4227adae1069ec253911bdd,EXTPAYLOAD-01d8737db796473b1bd18824,RESCAND-96b5708f99a5e7be9650bc88,readiness_preserved_lineage
EXTEXTRACT-2df27a0b12352cefdc4ce8d1,EXTPAYLOAD-01d96eb432b0593a63c90ead,RESCAND-d0e52354e340bc2b788473bc,readiness_preserved_lineage
EXTEXTRACT-f00c47502878e75faeed0d42,EXTPAYLOAD-01de8bf20f7b975d349dc3b0,EXTCAND-3d2b3f8e69255c8128f9bfb0,readiness_preserved_lineage
EXTEXTRACT-6187ed995cf0e3a61e053f1f,EXTPAYLOAD-01df3eb9e91037e7d6c3c6d9,RESCAND-9cb421a8c2038f057bb616bb,readiness_preserved_lineage
EXTEXTRACT-d1b7e60e9f504b620b28d5f5,EXTPAYLOAD-01e61f209485e455e2c263f8,EXTCAND-0208e78e743428b13fa3d7cd,readiness_preserved_lineage
EXTEXTRACT-af96a5dd2f47ee7ae5d64b05,EXTPAYLOAD-01eb62c7b1dd801db46c166e,EXTCAND-137aa75b91c5fbde749991c2,readiness_preserved_lineage
EXTEXTRACT-96e5b23836d8c475f821b75c,EXTPAYLOAD-01ec37d12ffab733808936a7,EXTCAND-1db148b504e70df31a7c1d16,readiness_preserved_lineage
