extraction_result_id,canonical_payload_id,root_event_id,linkage_basis
EXTEXTRACT-80482ebc7bd10d4a8ea218ec,EXTPAYLOAD-ba7aa9f3e7e12b0852ee28c2,,readiness_preserved_lineage
EXTEXTRACT-253dc2f9445adab168e97cce,EXTPAYLOAD-ba7bcafe2743c6a249d0970d,,readiness_preserved_lineage
EXTEXTRACT-253dc2f9445adab168e97cce,EXTPAYLOAD-ba7bcafe2743c6a249d0970d,,readiness_preserved_lineage
EXTEXTRACT-253dc2f9445adab168e97cce,EXTPAYLOAD-ba7bcafe2743c6a249d0970d,,readiness_preserved_lineage
EXTEXTRACT-253dc2f9445adab168e97cce,EXTPAYLOAD-ba7bcafe2743c6a249d0970d,,readiness_preserved_lineage
EXTEXTRACT-253dc2f9445adab168e97cce,EXTPAYLOAD-ba7bcafe2743c6a249d0970d,,readiness_preserved_lineage
EXTEXTRACT-c94174b3237ea471e161c36a,EXTPAYLOAD-ba7f0dc82a06a2eb6d4e2e6a,,readiness_preserved_lineage
EXTEXTRACT-c94174b3237ea471e161c36a,EXTPAYLOAD-ba7f0dc82a06a2eb6d4e2e6a,,readiness_preserved_lineage
EXTEXTRACT-c94174b3237ea471e161c36a,EXTPAYLOAD-ba7f0dc82a06a2eb6d4e2e6a,,readiness_preserved_lineage
EXTEXTRACT-c94174b3237ea471e161c36a,EXTPAYLOAD-ba7f0dc82a06a2eb6d4e2e6a,,readiness_preserved_lineage
EXTEXTRACT-c94174b3237ea471e161c36a,EXTPAYLOAD-ba7f0dc82a06a2eb6d4e2e6a,,readiness_preserved_lineage
EXTEXTRACT-5f50da24f0a373166927ad1d,EXTPAYLOAD-ba7f998bebd1869e87c8b214,,readiness_preserved_lineage
EXTEXTRACT-5f50da24f0a373166927ad1d,EXTPAYLOAD-ba7f998bebd1869e87c8b214,,readiness_preserved_lineage
EXTEXTRACT-5f50da24f0a373166927ad1d,EXTPAYLOAD-ba7f998bebd1869e87c8b214,,readiness_preserved_lineage
EXTEXTRACT-5f50da24f0a373166927ad1d,EXTPAYLOAD-ba7f998bebd1869e87c8b214,,readiness_preserved_lineage
EXTEXTRACT-5f50da24f0a373166927ad1d,EXTPAYLOAD-ba7f998bebd1869e87c8b214,,readiness_preserved_lineage
EXTEXTRACT-47ea42bf8e0c088da45211d3,EXTPAYLOAD-ba8405f5d212ec3482a19565,,readiness_preserved_lineage
EXTEXTRACT-47ea42bf8e0c088da45211d3,EXTPAYLOAD-ba8405f5d212ec3482a19565,,readiness_preserved_lineage
