municipality,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
Carencro,2,2,0,557348,false
Carey,3,0,3,0,false
Carl Junction,1,1,0,337491,false
Carlin,3,3,0,6597918,false
Carlisle,2,2,0,1260658,false
Carmel,1,1,0,7946017,false
Carnation,1,1,0,74373,false
Carnegie,2,2,0,360169,false
Carpinteria,3,3,0,39841039,false
Carrboro,1,0,1,0,false
Carrington,2,2,0,166277,false
Carrizozo,3,3,0,447615,false
Carroll,2,2,0,13418901,false
Carrollton,2,2,0,280169,false
Carter Lake,2,2,0,14240518,false
Cartersville,1,0,1,0,false
Carthage,2,1,1,336025,false
Caruthersville,1,1,0,398579,false
Carver,6,3,3,7279745,false
Cary,1,1,0,13688388,false
Cascade,3,0,3,0,false
Cascade Locks,1,1,0,25065723,false
Casco,1,1,0,726079,false
Caseyville,1,1,0,122478,false
Cashmere,1,1,0,580259,false
Castle Dale,2,1,1,15110,false
Castle Pines,2,1,1,1844458,false
Castle Rock,3,2,1,368839,false
Castle Shannon,1,1,0,2876955,false
Castleton,1,1,0,325817,false
Castlewood,4,4,0,1107710,false
Catasauqua,1,1,0,167415,false
Catoosa,1,0,1,0,false
Cave City,5,5,0,718807,false
Cave Creek,1,1,0,134605,false
Cayce,2,2,0,9797639,false
Cañon City,3,3,0,43624386,false
Cecil,3,3,0,556637,false
Cecilton,3,3,0,209592,false
Cedar Creek,2,2,0,3813887,false
Cedar Hills,2,0,2,0,false
Cedar Lake,5,5,0,11513657,false
Center,2,2,0,2160514,false
Center Line,1,1,0,370883,false
Center Point,2,0,2,0,false
Centerville,1,1,0,584954,false
Centre,1,1,0,1208958,false
Ceredo,1,1,0,3352131,false
Ceres,2,2,0,31013741,false
Ceresco,1,1,0,3556707,false
Chagrin Falls,2,2,0,5953134,false
Chamblee,1,1,0,6890694,false
Champaign City,2,2,0,366932,false
Channahon,4,4,0,1449168,false
Chanute,2,2,0,264666,false
Chariton,2,2,0,1654355,false
Charles City,3,0,3,0,false
Charles Town,1,0,1,0,false
Charleston,7,7,0,35059294,false
Charlestown,4,3,1,4586409,false
Charlotte,4,4,0,35339921,false
Chase City,3,1,2,17517,false
Chaska,1,1,0,44606,false
Chatfield,1,1,0,13425959,false
Chatham,1,1,0,135238,false
Chattahoochee,1,0,1,0,false
Cheboygan,3,2,1,3862281,false
Checotah,2,2,0,2266243,false
Cheektowaga,1,1,0,7549078,false
Chehalis,1,0,1,0,false
Chelsea,1,1,0,6106082,false
Cheney,2,2,0,195343,false
Cherokee,1,1,0,23180878,false
Cherokee Village,2,2,0,891868,false
Cherry Hills Village,2,2,0,7515628,false
Cherryvale,2,2,0,83962,false
Cheshire,1,1,0,88648,false
Chester,6,6,0,7057258,false
Chesterton,1,0,1,0,false
Cheswold,2,2,0,711428,false
Cheverly,1,0,1,0,false
Chickasaw,2,2,0,302829,false
Chickasha,3,2,1,500874,false
Chilhowie,2,2,0,505267,false
Chilton,1,1,0,416744,false
China,2,2,0,1207527,false
Chincoteague,2,2,0,3362967,false
Chisholm,2,2,0,226756,false
Choctaw,2,2,0,48896955,false
Choteau,1,1,0,201949,false
Christiansburg,3,2,1,175120,false
Chubbuck,3,1,2,198497,false
Church Hill,3,3,0,457152,false
Church Point,3,2,1,424433,false
Cicero,3,3,0,4062653,false
Cimarron,1,1,0,471709,false
Cincinnati,4,3,1,3111434,false
Circle,2,2,0,1683229,false
Citrus Heights,1,1,0,108213,false
Claremore,3,3,0,15206216,false
Clarendon,1,1,0,1486379,false
Clarinda,2,2,0,4496084,false
Clarion,2,2,0,198647,false
Clark,3,3,0,2509917,false
Clark Fork,2,2,0,770562,false
Clarkston,7,7,0,33401544,false
Clatskanie,2,2,0,4634115,false
Clawson,1,0,1,0,false
Cle Elum,2,2,0,4077272,false
Clear Lake,4,4,0,10692429,false
Clearmont,2,2,0,608703,false
Clearwater,2,2,0,2600888,false
Clemmons,4,4,0,1656953,false
Clemson,2,2,0,1419233,false
Cleveland,9,7,2,18553770,false
Clifton,2,2,0,461420,false
Clifton Forge,2,2,0,889060,false
Clifton Heights,1,1,0,418891,false
Clinton,8,7,1,19363576,false
