canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
RESCAND-1a87aee76d234b23a33b3a9e,EXTLOC-251f6feabb2ad72dd627a2f4,,
RESCAND-0d4fa11960643c9ab25164ea,EXTLOC-b8d225f78e74172d818c6a55,,
RESCAND-d5898f0ebfea4092c1281dcf,EXTLOC-4f2fa515ffb70bff1dbecfa0,,
RESCAND-01c6ea42ee0cbc19f716f956,EXTLOC-d2810d7036b6d0948b158803,,
RESCAND-8bf4d96e3da183fce07220f2,EXTLOC-03eb135ed3e82d028e2a8c8f,,
RESCAND-7b077bd8063ae527d867bf7a,EXTLOC-68e01907a779150c538b96b3,,
EXTCAND-e1a8b5b9d65a63285276b7d0,EXTLOC-a021b3993a3e2d22be53dc8e,,
RESCAND-08b4d684b085dd8d3cfb0bcb,EXTLOC-6ef3b92eb40d63b2603e97de,,
EXTCAND-929c45bea503f85c8bdf2677,EXTLOC-f55b4c235dc0e34c29c0d64c,,
RESCAND-715cd3813c8a7c7d036ac001,EXTLOC-75fe3aa7ce0740f2b1030a90,,
RESCAND-6a7580a96e0d746bc1a59708,EXTLOC-e482bc73e73a3f6a9a69f220,,
RESCAND-ca3338c47b85f4c03b9d60b9,EXTLOC-d6704b76fed212d342c886d5,,
RESCAND-e2482e707ce047b200b35ef5,EXTLOC-42de1a4f1b8ec00442a5ab11,,
RESCAND-ff31a46f62f5bf7ff01c2216,EXTLOC-adc23442a792cdda7551e374,,
RESCAND-7dd17fb75e2697ce4970c9bd,EXTLOC-de818a0872bfd23e5ed4febd,,
RESCAND-16ed5d293c59c0f88e0bf2dc,EXTLOC-2972d1b820170b353d2973e4,,
RESCAND-f44bc7dea9944feaf6b0bd9e,EXTLOC-636115b133df623c1c850b85,,
RESCAND-b0ad37177273c61c01d937f6,EXTLOC-d85ffd88543966a0ea045c9e,,
RESCAND-ec636fcc7990b15cfcfddb3f,EXTLOC-c12a723131bc5cc0c6b9f37e,,
RESCAND-306f60d3590b5e0f50676263,EXTLOC-c8f8a4de6ea0ddf9045bfc78,,
